ErrorCode,Description
5108,Blackout Time When DND applies on SE Template
5110,"Number is registered for DND, so the message was treated as promotional"
5201,If Header not Active
5202,If Header is Blacklisted.
5203,the used header DPJPR is not found/registered on DLT
5204,HDR_OP_INACTIVE
5205,Entity id not matched with the used template
5206,Port is Promo getting Trans hits
5207,Port is Trans getting Promo hits
5208,HDR_CASE_SEN_CLI (Govt. Header)
5210,Entity ID not matching with desire User_ID
5213,Header Suspended Due to Usage
5214,Header Suspended Due to Validity
5215,Header Suspension - Customer initiative (Self)
5301,Content Unregistered
5302,Content Blacklisted
5303,Content with unknown header
5304,Content Not in DB
5305,Content Type Mismatched
5306,Content ID not Active
5307,Content Regex not matched
5308,Content ID Blank
5309,Content ID Blacklisted by VISPL
5310,Content Multipart not complete
5311,Content Active/Inactive
5312,Variable Exceeded Error
5313,Template Suspended Due to Usage
5314,Template Suspended Due to Validity
5315,Template Suspension - Customer initiative (Self)
5401,COMM is Trans/SE/SI & Header is Inactive/Blacklisted
5402,COMM is Trans/SE/SI & Content_ID is Inactive
5403,COMM is Trans/SE/SI & Content AssoC. Header is Different
5404,COMM is Trans&Content is registered for some other type
5405,COMM is SI & Content is registered for some other type
5406,COMM is SE & Content is registered for some other type
5501,Consent Not in DB
5502,Consent Expired
5503,Consent Revoked
5504,Consent Initiated
5505,Consent_Verified
5506,Consent_Failed
5507,Consent_Disconnected
5508,Consent_SBchurn
5510,Migration-Verified
5601,PE_TM_Hash is not valid/ not available / Blank
5602,PE_TM_Hash is Blacklisted
5603,PE_TM_Hash is Inactive
5604,PE_TM_Hash is Suspended
5605,PE_TM_Hash TM-D ID not matched
5606,PE_TM_Hash PE ID not matched
5901,CTA whitelisting error. which indicates that the used URL is not whitelisted over DLT
5902,URL_BLACKLISTED
5903,URL_INACTIVE
591,DESTINATION_FLOODING
591,DESTINATION_FLOODING
592,Global keyword Failure
592,Global keyword Failure
594,Global Sender ID Block
594,Global Sender ID Block
595,Global Receiver blocked
595,Global Receiver blocked
598,EC_CTID_BLACKLISTED
598,EC_CTID_BLACKLISTED
606,Reserved for Entity
607,Reserved for Entity
608,Reserved for Entity
609,Reserved for Entity
614,PE TM HASH NOT RECEIVED
615,PE_TM_HASH_NOT_REGISTERED
618,PE_TM_HASH_SUSPENDED----------
619,Reserved for Telemarketer
620,"No record found with header (case sensitive)
as primary key"
621,"Header is inactive on the platform, ex: {QL:I}"
622,Header is blacklisted on all platforms
623,"Principle Entity Id is not matched with Header
Id"
624,Reserved for Header
625,Reserved for Header
626,Reserved for Header
627,Reserved for Header
628,Reserved for Header
629,Reserved for Header
630,"No record found with Template Id as primary
key/no template found"
631,"Template is inactive on the platform, ex: {QL:I}"
632,Template is blacklisted on all platforms
633,Template not matched for given Template ID
634,Header is not registered for the template
635,Valiable Length exied
636,Error in identifying the template
637,Received wrong Template id format or no Template id tag.
638,Reserved for Template
639,Reserved for Template
640,Reserved for Template
641,Reserved for Template
642,Reserved for Template
643,Reserved for Template
644,Reserved for Template
645,Reserved for Template
646,Reserved for Template
647,Reserved for Template
648,Reserved for Template
649,Reserved for Template
650,Blocked in preferences with MSISDN as PK.
651,Block promo hours (9PM to 10AM)
652,"SE category blocking on fully DND, if consent
not available"
653,Reserved for Preference
654,Reserved for Preference
655,Reserved for Preference
656,Reserved for Preference
657,Reserved for Preference
658,Reserved for Preference
659,Reserved for Preference
660,General error code for Consent
661,Reserved for Consent
662,Reserved for Consent
663,Reserved for Consent
664,Reserved for Consent
665,Reserved for Consent
666,SMS Content mis-match
667,Reserved for Consent
668,Reserved for Consent
669,Reserved for Consent
677,Invalid TM_ID
678,Telemarketer ID does not exist/In active
680,Telemarketer ID blacklisted
683,SMS Type of header is not match Template
687,SMS Type is not match with header/Template SMS Type
700,No CTA whitelisted
7001,Entity is In-Active
7002,Entity is Blacklist
7003,Entity not in DB
7004,Entity ID Blank
7005,ENTITY_OP_INACTIVE
701,URL CTA not matched with whitelisted data
703,Submit_SM_Timeout
715,Expired at BMG
792,EC_NC_abnormalEventDetectedByPeer
793,EC_NC_responseRejectedByPeer
794,EC_NC_abnormalEventReceivedFromPeer
795,EC_NC_messageCannotBeDeliveredToPeer
796,EC_NC_providerOutOfInvoke
801,EC_BLACKLISTED_MSISDN
802,EntityID Inactive/Not registered with Airtel
803,Header is blacklisted
804,Header Inactive/Not registered with Airtel
805,Template is inactive
811,PE-TM chain is inactive.
812,Invalid PE-TM hash.
813,Hash does not match with PE-TM Chain.
9003,ESME_RINVCMDID
9008,ESME_RSYSERR_ABMS
901,AccountID Required
9010,ESME_RINVSRCADR
9011,ESME_RINVDSTADR
9014,ESME_RINVPASWD
9015,ESME_RINVSYSID
9016,JMS_QUEUE_ERROR_CODE
9018,GOV_HEADER_ERROR_CODE
9019,GOV_HEADER_INVALID ACCOUNT_TYPE ERROR_CODE
9020,Message Queue Full
9021,ESME_RINVSERTYP
9022,MSG_IN_SHORT_MSG AND_PAYLOAD
9024,TAG_TM_ID_ABSENT
9025,TAG_TEMPLATE_ID_ABSENT
9026,TAG_PE_ID_ABSENT
9027,ESME_MULTI_MISSING_PART
9030,ESME_INVD_TM_EXN_ID
9031,RETRY_REACHED_MAX_LIMIT
905,SMS Type Required
906,MSISDN Required
9069,SUBMIT_SM_FAILED
907,Invalid SMS Type
908,MessageID Required
9088,ESME_RTHROTTLED
909,Invalid DLT header id
9196,ESME_RINVOPTPARAMVAL
